epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,9788.03,0.40816,0.37587,0.79876,0.92075,0.91399,0.95204,0.87505,0.39785,0.37579,0.79839,7.675e-05,7.675e-05,7.675e-05
72,9903.23,0.40802,0.37587,0.79761,0.92514,0.90266,0.95046,0.87434,0.39776,0.37627,0.7963,7.4275e-05,7.4275e-05,7.4275e-05
73,10018.6,0.40582,0.36704,0.79826,0.91931,0.90626,0.94996,0.87183,0.4016,0.38005,0.79647,7.18e-05,7.18e-05,7.18e-05
74,10133.9,0.4049,0.37254,0.79905,0.92407,0.91342,0.95369,0.8796,0.39114,0.37061,0.79497,6.9325e-05,6.9325e-05,6.9325e-05
75,10249.5,0.40587,0.36627,0.79931,0.92299,0.90912,0.95224,0.87408,0.39978,0.37458,0.79651,6.685e-05,6.685e-05,6.685e-05
76,10368.8,0.40442,0.36296,0.79837,0.91729,0.91639,0.9544,0.87844,0.39282,0.36985,0.7956,6.4375e-05,6.4375e-05,6.4375e-05
77,10507.6,0.40379,0.36642,0.79626,0.92478,0.90803,0.95105,0.87539,0.39722,0.37602,0.79623,6.19e-05,6.19e-05,6.19e-05
78,10664.2,0.40027,0.35803,0.79746,0.92486,0.91822,0.9565,0.88314,0.38714,0.36456,0.79356,5.9425e-05,5.9425e-05,5.9425e-05
79,10820.5,0.40236,0.35779,0.79618,0.92372,0.91643,0.95577,0.88247,0.38991,0.36573,0.79507,5.695e-05,5.695e-05,5.695e-05
80,10975.6,0.39729,0.35231,0.7973,0.92815,0.91031,0.95345,0.87952,0.39191,0.368,0.79444,5.4475e-05,5.4475e-05,5.4475e-05
81,11133.2,0.39734,0.35618,0.7972,0.92208,0.91118,0.94996,0.87516,0.39659,0.37581,0.79572,5.2e-05,5.2e-05,5.2e-05
82,11291,0.39701,0.35306,0.79691,0.91551,0.92072,0.95349,0.87974,0.39005,0.3721,0.79385,4.9525e-05,4.9525e-05,4.9525e-05
83,11448.6,0.39679,0.34789,0.79558,0.9208,0.91123,0.95267,0.87983,0.39114,0.36982,0.79434,4.705e-05,4.705e-05,4.705e-05
84,11607.5,0.39593,0.34477,0.79555,0.93135,0.90697,0.95352,0.88156,0.3866,0.36599,0.79348,4.4575e-05,4.4575e-05,4.4575e-05
85,11767.3,0.39447,0.34627,0.79584,0.93131,0.90335,0.95044,0.87854,0.38708,0.36898,0.79315,4.21e-05,4.21e-05,4.21e-05
86,11925.4,0.39116,0.34584,0.79619,0.92751,0.90823,0.94989,0.87791,0.38659,0.37141,0.79236,3.9625e-05,3.9625e-05,3.9625e-05
87,12083.1,0.38841,0.3392,0.7944,0.92832,0.90937,0.95239,0.87924,0.3901,0.36743,0.79426,3.715e-05,3.715e-05,3.715e-05
88,12241.1,0.3897,0.33807,0.79461,0.92513,0.91409,0.95266,0.88101,0.38736,0.36536,0.79391,3.4675e-05,3.4675e-05,3.4675e-05
